protocol_id,preprocessing_protocol,trace_protocol,kernel_normalization,seed,q,model,model_f1,baseline_f1,baseline,delta_f1
legacy_leak__train_trace,legacy_train_plus_heldout,train_trace,,3,6,qsvm,0.0,0.7619047619047619,linear_c1,-0.7619047619047619
legacy_leak__train_trace,legacy_train_plus_heldout,train_trace,,4,6,qsvm,0.0,0.8275862068965517,linear_c1,-0.8275862068965517
legacy_leak__train_trace,legacy_train_plus_heldout,train_trace,,5,6,qsvm,0.0,0.88,linear_c1,-0.88
legacy_leak__train_trace,legacy_train_plus_heldout,train_trace,,6,6,qsvm,0.0,0.9166666666666666,linear_c1,-0.9166666666666666
legacy_leak__train_trace,legacy_train_plus_heldout,train_trace,,7,6,qsvm,0.0,0.5882352941176471,linear_c1,-0.5882352941176471
legacy_leak__train_trace,legacy_train_plus_heldout,train_trace,,8,6,qsvm,0.0,0.75,linear_c1,-0.75
legacy_leak__train_trace,legacy_train_plus_heldout,train_trace,,9,6,qsvm,0.0,0.782608695652174,linear_c1,-0.782608695652174
legacy_leak__train_trace,legacy_train_plus_heldout,train_trace,,0,6,qsvm,0.0,0.8571428571428571,rbf_tuned,-0.8571428571428571
legacy_leak__train_trace,legacy_train_plus_heldout,train_trace,,1,6,qsvm,0.0,0.8571428571428571,rbf_tuned,-0.8571428571428571
legacy_leak__train_trace,legacy_train_plus_heldout,train_trace,,2,6,qsvm,0.0,0.7272727272727273,rbf_tuned,-0.7272727272727273
legacy_leak__train_trace,legacy_train_plus_heldout,train_trace,,3,6,qsvm,0.0,0.6956521739130435,rbf_tuned,-0.6956521739130435
legacy_leak__train_trace,legacy_train_plus_heldout,train_trace,,4,6,qsvm,0.0,0.8387096774193549,rbf_tuned,-0.8387096774193549
legacy_leak__train_trace,legacy_train_plus_heldout,train_trace,,5,6,qsvm,0.0,0.88,rbf_tuned,-0.88
legacy_leak__train_trace,legacy_train_plus_heldout,train_trace,,6,6,qsvm,0.0,0.96,rbf_tuned,-0.96
